Dates,totalconfirmed,totaldeceased,totalrecovered,Active
30-1-2020,1,0,0,1
31-1-2020,1,0,0,1
01-2-2020,1,0,0,1
02-2-2020,2,0,0,2
03-2-2020,3,0,0,3
04-2-2020,3,0,0,3
05-2-2020,3,0,0,3
06-2-2020,3,0,0,3
07-2-2020,3,0,0,3
08-2-2020,3,0,0,3
09-2-2020,3,0,0,3
10-2-2020,3,0,0,3
11-2-2020,3,0,0,3
12-2-2020,3,0,0,3
13-2-2020,3,0,1,2
14-2-2020,3,0,1,2
15-2-2020,3,0,1,2
16-2-2020,3,0,2,1
17-2-2020,3,0,2,1
18-2-2020,3,0,2,1
19-2-2020,3,0,2,1
20-2-2020,3,0,3,0
21-2-2020,3,0,3,0
22-2-2020,3,0,3,0
23-2-2020,3,0,3,0
24-2-2020,3,0,3,0
25-2-2020,3,0,3,0
26-2-2020,3,0,3,0
27-2-2020,3,0,3,0
28-2-2020,3,0,3,0
29-2-2020,3,0,3,0
01-3-2020,3,0,3,0
02-3-2020,5,0,3,2
03-3-2020,6,0,3,3
04-3-2020,28,0,3,25
05-3-2020,30,0,3,27
06-3-2020,31,0,3,28
07-3-2020,34,0,3,31
08-3-2020,39,0,3,36
09-3-2020,48,0,3,45
10-3-2020,63,0,4,59
11-3-2020,71,0,4,67
12-3-2020,81,1,4,77
13-3-2020,91,1,10,81
14-3-2020,102,2,10,92
15-3-2020,112,2,13,99
16-3-2020,126,2,14,112
17-3-2020,146,3,15,131
18-3-2020,171,3,15,156
19-3-2020,198,4,20,178
20-3-2020,256,4,23,233
21-3-2020,334,4,23,311
22-3-2020,403,7,23,380
23-3-2020,497,9,25,472
24-3-2020,571,10,40,531
25-3-2020,657,11,43,614
26-3-2020,730,16,50,680
27-3-2020,883,19,75,808
28-3-2020,1019,24,85,934
29-3-2020,1139,27,102,1037
30-3-2020,1326,41,137,1189
31-3-2020,1635,47,150,1485
01-4-2020,2059,53,169,1890
02-4-2020,2545,69,191,2354
03-4-2020,3105,83,230,2875
04-4-2020,3684,96,286,3398
05-4-2020,4293,118,329,3964
06-4-2020,4777,134,394,4383
07-4-2020,5350,161,469,4881
08-4-2020,5915,181,565,5350
09-4-2020,6728,227,635,6093
10-4-2020,7599,249,786,6813
11-4-2020,8453,290,972,7481
12-4-2020,9211,332,1086,8125
13-4-2020,10454,359,1198,9256
14-4-2020,11485,396,1365,10120
15-4-2020,12371,423,1509,10862
16-4-2020,13432,449,1767,11665
17-4-2020,14354,487,2040,12314
18-4-2020,15725,522,2466,13259
19-4-2020,17305,560,2854,14451
20-4-2020,18544,593,3273,15271
21-4-2020,20081,646,3976,16105
22-4-2020,21373,682,4370,17003
23-4-2020,23040,722,5012,18028
24-4-2020,24448,781,5496,18952
25-4-2020,26283,825,5938,20345
26-4-2020,27890,881,6523,21367
27-4-2020,29458,939,7103,22355
28-4-2020,31360,1008,7739,23621
29-4-2020,33065,1079,8429,24636
30-4-2020,34866,1154,9059,25807
01-5-2020,37262,1231,10021,27241
02-5-2020,39826,1323,10852,28974
03-5-2020,42778,1463,11763,31015
04-5-2020,46434,1566,12845,33589
05-5-2020,49405,1694,14140,35265
06-5-2020,53007,1785,15301,37706
07-5-2020,56351,1889,16776,39575
